ProductUrl,productTitle,productPrice,averageRating,reviewTitle,reviewDescription,reviewAuthor,reviewAt,reviewLikes,reviewDislikes,certifiedBuyer,reviewerLocation,fiveStarRatingCount,fourStarRatingCount,threeStarRatingCount,twoStarRatingCount,oneStarRatingCount,reviewImages,scrapedAt,uniqId
https://www.flipkart.com/redmi-9i-sea-blue-64-gb/p/itm1c59f8befb365,"REDMI 9i (Sea Blue, 64 GB)","₹8,999",4.3,Classy product,Good phone.,Flipkart Customer,1 month ago,0,0,True, Gangarampur,"3,28,310","1,24,451","49,227","17,010","29,481",,21/02/2022 00:57:52,84e6b64a-0924-5746-bb85-b8c0639ea921
https://www.flipkart.com/samsung-galaxy-note10-lite-aura-red-128-gb/p/itm01849b7b430e5,"SAMSUNG Galaxy Note10 Lite (Aura Red, 128 GB)","₹43,000",4.3,Super!,Camera is excellent.5/5Battery is fine 4/5.Display 5/5.S pen is wonderful.Only issue is slow processor.and during video recording temperature increases and camera shut down.it can't stand 30 min video recording..Exynos is not a good processor I think.,Amit Bhadauria,"Oct, 2020",2,0,True, Agra,276,89,23,11,28,,21/02/2022 00:57:52,46f62ec3-2eaa-5931-8e48-81483e2668e1
https://www.flipkart.com/samsung-level-u2-type-c-charging-bluetooth-headset/p/itme6ca5d05b3a67,SAMSUNG Level U2 With Type-C Charging Bluetooth Headset,"₹2,199",4.0,Good quality product,Nice Product,Amol  Munde,"Jun, 2018",0,0,True, Parli,"41,006","13,359","5,738","3,109","10,378",,21/02/2022 00:57:52,4c07dddf-4fc4-50fd-b8ff-798b81946bc6
https://www.flipkart.com/samsung-192-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmfc9jqegu2mzbw,SAMSUNG 192 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,890",4.5,Brilliant,Small and very Powerful refrigerator,Arunkumar S,"Jun, 2019",0,0,True, Chennai,"15,653","5,914","1,147",313,622,https://rukminim1.flixcart.com/blobio/124/124/201906/blobio-201906_d32en7ot.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201906/blobio-imr-201906_732b678a66dd4c3591bde0e62e95be7e.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201907/blobio-imr-201907_4bebfb7c6b424718b3b063b021bd91f1.jpg,21/02/2022 00:57:52,0f5852f9-c03a-57e1-92cc-aff82af7c972
https://www.flipkart.com/boat-bassheads-220-super-extra-bass-wired-headset/p/itm145d97a73b7c7,boAt BassHeads 220 Super Extra Bass Wired Headset,₹549,4.2,Brilliant,Good,Ram Sen,3 months ago,0,0,True, Jalpaiguri,"4,81,631","2,07,879","70,733","26,270","54,970",https://rukminim1.flixcart.com/blobio/124/124/imr-202110/blobio-imr-202110_e627f5351bf34c55aab05324fb945349.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-202111/blobio-imr-202111_a640d35f32d74cafbbdba312eebba6d8.jpg,21/02/2022 00:57:52,49d04762-623f-5ac9-95bd-f4e8c3b3696f
https://www.flipkart.com/redmi-9i-sea-blue-64-gb/p/itm1c59f8befb365,"REDMI 9i (Sea Blue, 64 GB)","₹8,999",4.3,Does the job,Back camera is not good,Flipkart Customer,1 month ago,0,0,True, Jaisalmer,"3,28,310","1,24,451","49,227","17,010","29,481",,21/02/2022 00:57:52,84e6b64a-0924-5746-bb85-b8c0639ea921
https://www.flipkart.com/samsung-galaxy-note10-lite-aura-red-128-gb/p/itm01849b7b430e5,"SAMSUNG Galaxy Note10 Lite (Aura Red, 128 GB)","₹43,000",4.3,Great product,"after one month of using, I must say this is a worth buying phone. Previously I was using Samsung J series & M series phone. But this is a flagship phone from Samsung costs little above the midrange & performance wise very hard to find any fault in it. Loving it",Flipkart Customer,"Aug, 2020",2,0,True,ertified Buyer,276,89,23,11,28,,21/02/2022 00:57:52,30d53bfe-b1ff-554c-95c3-074e23eaab50
https://www.flipkart.com/samsung-level-u2-type-c-charging-bluetooth-headset/p/itme6ca5d05b3a67,SAMSUNG Level U2 With Type-C Charging Bluetooth Headset,"₹2,199",4.0,Brilliant,very very Gud,Lobsang Nima,"Jun, 2018",0,0,True, Bengaluru,"41,006","13,359","5,738","3,109","10,378",,21/02/2022 00:57:52,4dedd2b5-8859-5d4a-8e69-c808660bdef8
https://www.flipkart.com/samsung-192-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmfc9jqegu2mzbw,SAMSUNG 192 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,890",4.5,Highly recommended,very fast delivery thank you flip Cart,Rohitendra Kumar,"Jun, 2019",0,0,True, Kanpur,"15,653","5,914","1,147",313,622,https://rukminim1.flixcart.com/blobio/124/124/201906/blobio-201906_d32en7ot.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201906/blobio-imr-201906_732b678a66dd4c3591bde0e62e95be7e.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-201907/blobio-imr-201907_4bebfb7c6b424718b3b063b021bd91f1.jpg,21/02/2022 00:57:52,83aa1f10-a8b7-5711-8882-308017058dff
https://www.flipkart.com/boat-bassheads-220-super-extra-bass-wired-headset/p/itm145d97a73b7c7,boAt BassHeads 220 Super Extra Bass Wired Headset,₹549,4.2,Must buy!,Fantastik,Joydev Rana,3 months ago,0,0,True, Egra,"4,81,631","2,07,879","70,733","26,270","54,970",https://rukminim1.flixcart.com/blobio/124/124/imr-202110/blobio-imr-202110_e627f5351bf34c55aab05324fb945349.jpg~https://rukminim1.flixcart.com/blobio/124/124/imr-202111/blobio-imr-202111_a640d35f32d74cafbbdba312eebba6d8.jpg,21/02/2022 00:57:52,7f374a6b-98d4-5f1e-adaf-5131b7dd8d6b
